"","Sample","Sea","longitude","latitude","seaPred","longPred","latPred"
"96","ERS490476","South.Atlantic.Ocean",-17.9604,-8.7296,"South.Pacific.Ocean",-91.5011672973633,-3.27013564109802
"97","ERS488714","Arabian.Sea",63.5047,20.8183,"Arabian.Sea",37.3614201189742,19.0918582219148
"98","ERS493670","North.Pacific.Ocean",-116.6468,14.2075,"North.Pacific.Ocean",-126.594512939453,17.4466209411621
"99","ERS490714","South.Atlantic.Ocean",-43.2915,-30.1471,"South.Atlantic.Ocean",-102.129005432129,-10.2200384140015
"100","ERS492863","South.Pacific.Ocean",-140.5973,-9.0714,"South.Pacific.Ocean",-144.399917602539,-13.4399662017822
"101","ERS489987","INDIAN.OCEAN",37.9599,-29.5046,"South.Atlantic.Ocean",-17.1809844970703,-0.53717976808548
"102","ERS494208","North.Atlantic.Ocean",-70.0343,39.2392,"North.Atlantic.Ocean",-51.3342132568359,28.5629653930664
"103","ERS494445","North.Atlantic.Ocean",-37.3032,35.9346,"North.Atlantic.Ocean",-27.2611064910889,24.3893032073975
"104","ERS488936","Arabian.Sea",66.3896,18.7341,"Arabian.Sea",42.647247348813,16.8010936548484
"105","ERS490265","South.Atlantic.Ocean",4.665,-31.0266,"South.Atlantic.Ocean",13.7154684066772,-26.1956844329834
"106","ERS493822","North.Pacific.Ocean",-103.0598,6.3559,"North.Pacific.Ocean",-96.6541748046875,6.66610860824585
"107","ERS478017","Mediterranean.Sea",32.898,33.9179,"Mediterranean.Sea",18.9363432146035,30.2906061874545
"108","ERS492699","South.Pacific.Ocean",-139.1394,-9.0063,"South.Pacific.Ocean",-71.4357633124507,-17.3661231421632
"109","ERS492408","South.Pacific.Ocean",-129.3947,-23.2811,"South.Pacific.Ocean",-118.498085021973,-2.1548535823822
"110","ERS494374","North.Atlantic.Ocean",-56.9684,34.1504,"North.Atlantic.Ocean",-38.0022659301758,26.9817695617676
"111","ERS493372","North.Pacific.Ocean",-159.0224,31.528,"North.Pacific.Ocean",-115.82592010498,4.31451845169067
"112","ERS488649","Red.Sea",39.875,18.3967,"INDIAN.OCEAN",63.8704566955566,12.5688695907593
"113","ERS487899","North.Atlantic.Ocean",-6.5669,36.5533,"Mediterranean.Sea",10.3051387874857,33.7280707870776
"114","ERS489585","INDIAN.OCEAN",53.9601,-16.9534,"South.Pacific.Ocean",4.43620538711548,-3.50204634666443
"115","ERS489846","Mozambique.Channel",42.2866,-17.2855,"Mozambique.Channel",13.3785429216125,-8.62484791426368
"116","ERS493098","South.Pacific.Ocean",-153.6858,0.0222,"South.Pacific.Ocean",-78.0794677734375,-10.6744375228882
"117","ERS493044","South.Pacific.Ocean",-153.6759,3e-04,"South.Pacific.Ocean",-86.6030578613281,-10.2285900115967
"118","ERS492228","South.Pacific.Ocean",-84.589,-2.0133,"South.Pacific.Ocean",-100.093246459961,-8.23787689208984
"119","ERS489074","Arabian.Sea",70.0128,14.5536,"Arabian.Sea",65.9976043701172,-3.52366256713867
"120","ERS489236","INDIAN.OCEAN",71.6428,0.0033,"INDIAN.OCEAN",40.2226408221104,-2.68810434327642
"121","ERS491740","South.Pacific.Ocean",-111.7294,-25.826,"South.Pacific.Ocean",-97.3501434326172,-5.77742624282837
"122","ERS493788","North.Pacific.Ocean",-102.9538,6.3378,"North.Pacific.Ocean",-76.2765789456081,8.989012355989
"123","ERS490296","South.Atlantic.Ocean",4.6802,-31.027,"South.Atlantic.Ocean",-48.7318778143129,-25.3687354468828
"124","ERS491699","South.Pacific.Ocean",-111.7202,-25.8051,"South.Pacific.Ocean",-97.5231170654297,8.77022075653076
"125","ERS494332","North.Atlantic.Ocean",-64.2489,31.6948,"North.Atlantic.Ocean",-59.098201751709,15.7784738540649
"126","ERS491110","South.Atlantic.Ocean",-49.5017,-61.9689,"South.Atlantic.Ocean",-9.43481063842773,-23.9796104431152
"127","ERS490542","South.Atlantic.Ocean",-35.1803,-20.9354,"South.Atlantic.Ocean",-32.5325889587402,-12.7059555053711
"128","ERS493705","North.Pacific.Ocean",-116.6433,14.2025,"North.Pacific.Ocean",-32.3212127685547,15.324761390686
"129","ERS490633","South.Atlantic.Ocean",-35.1794,-20.9315,"South.Atlantic.Ocean",-70.5361938476562,-21.7776470184326
"130","ERS488569","Red.Sea",37.2183,23.36,"INDIAN.OCEAN",58.9687919616699,6.42501211166382
"131","ERS488849","Arabian.Sea",64.5638,19.0351,"Arabian.Sea",37.4714909197558,18.8204019230857
